,pocket_rmsd
6RZ7_lig-to-AF_6RZ6,1.4138286113739014
6RZ8_lig-to-AF_6RZ6,1.4009546041488647
6RZ6_lig-to-AF_6RZ6,1.3982648849487305
6RZ9_lig-to-AF_6RZ6,1.3652697801589966
6KUY_lig-to-AF_6KUX,1.9759124517440796
6KUX_lig-to-AF_6KUX,1.3418169021606445
6K42_lig-to-AF_6K41,1.4037225246429443
6K41_lig-to-AF_6K41,1.3247650861740112
7E2Z_lig-to-AF_7E2Y,0.9746803045272827
7E2Y_lig-to-AF_7E2Y,1.074769139289856
5ZKP_lig-to-AF_5ZKP,0.9786736965179443
5ZKQ_lig-to-AF_5ZKP,1.1402146816253662
7D76_lig-to-AF_7D76,4.113055229187012
7D77_lig-to-AF_7D76,4.056176662445068
6ME7_lig-to-AF_6ME7,1.031166672706604
6ME6_lig-to-AF_6ME7,1.0623148679733276
6ME8_lig-to-AF_6ME7,1.018184781074524
6ME9_lig-to-AF_6ME7,1.1516305208206177
5YWY_lig-to-AF_5YHL,1.0388513803482056
7D7M_lig-to-AF_5YHL,1.6120144128799438
5YHL_lig-to-AF_5YHL,1.03097403049469
7JV5_lig-to-AF_7CKW,1.1920610666275024
7CKX_lig-to-AF_7CKW,1.170810341835022
7JOZ_lig-to-AF_7CKW,1.6550734043121338
7CKW_lig-to-AF_7CKW,1.6385371685028076
7LJD_lig-to-AF_7CKW,0.9337438941001892
7LJC_lig-to-AF_7CKW,1.1371604204177856
7CRH_lig-to-AF_7CKW,1.457711100578308
7JVP_lig-to-AF_7CKW,1.1492446660995483
7CKY_lig-to-AF_7CKW,1.8024168014526367
7JVQ_lig-to-AF_7CKW,0.9554776549339294
7CKZ_lig-to-AF_7CKW,1.29005765914917
7E9G_lig-to-AF_7E9G,3.411280870437622
6RZ5_lig-to-AF_6RZ4,1.5939970016479492
6RZ4_lig-to-AF_6RZ4,1.3041608333587646
6HLO_lig-to-AF_6E59,1.4336860179901123
6HLL_lig-to-AF_6E59,1.2511266469955444
6J21_lig-to-AF_6E59,1.5459426641464233
6HLP_lig-to-AF_6E59,1.3844066858291626
6E59_lig-to-AF_6E59,2.777066230773926
6J20_lig-to-AF_6E59,1.5477286577224731
7CX2_lig-to-AF_7CX2,1.8126288652420044
7CX3_lig-to-AF_7CX2,1.8110941648483276
7CX4_lig-to-AF_7CX2,1.7591079473495483
6IIV_lig-to-AF_6IIU,4.9828104972839355
6IIU_lig-to-AF_6IIU,20.783958435058594
6KPF_lig-to-AF_5ZTY,1.2692935466766357
6PT0_lig-to-AF_5ZTY,1.4307701587677002
6KPC_lig-to-AF_5ZTY,1.0173029899597168
5ZTY_lig-to-AF_5ZTY,1.14604651927948
6A93_lig-to-AF_6A93,1.1834877729415894
6A94_lig-to-AF_6A93,1.2710425853729248
6WH4_lig-to-AF_6A93,1.289239525794983
6WHA_lig-to-AF_6A93,1.4636398553848267
6WGT_lig-to-AF_6A93,1.087457537651062
6RNK_lig-to-AF_6RNK,10.253849029541016
6Z10_lig-to-AF_6RNK,3.9538824558258057
6D27_lig-to-AF_6D26,1.5412245988845825
6D26_lig-to-AF_6D26,1.438415765762329
6ME3_lig-to-AF_6ME2,0.9554018974304199
6ME4_lig-to-AF_6ME2,0.9509220719337463
6ME2_lig-to-AF_6ME2,0.8972553014755249
6ME5_lig-to-AF_6ME2,0.9587154388427734
6PS8_lig-to-AF_6ME2,0.9988217949867249
6AK3_lig-to-AF_6AK3,1.3758924007415771
6M9T_lig-to-AF_6AK3,1.3828644752502441
